"year","DVRPC-Associates Degree","DVRPC-Bachelors Degree","DVRPC-Some High School","DVRPC-Graduate/Professional Degree","DVRPC-Graduated High School","DVRPC-Less than High School","DVRPC-Some College","New Jersey Suburbs-Associates Degree","New Jersey Suburbs-Bachelors Degree","New Jersey Suburbs-Some High School","New Jersey Suburbs-Graduate/Professional Degree","New Jersey Suburbs-Graduated High School","New Jersey Suburbs-Less than High School","New Jersey Suburbs-Some College","Pennsylvania Suburbs-Associates Degree","Pennsylvania Suburbs-Bachelors Degree","Pennsylvania Suburbs-Some High School","Pennsylvania Suburbs-Graduate/Professional Degree","Pennsylvania Suburbs-Graduated High School","Pennsylvania Suburbs-Less than High School","Pennsylvania Suburbs-Some College","Core City-Associates Degree","Core City-Bachelors Degree","Core City-Some High School","Core City-Graduate/Professional Degree","Core City-Graduated High School","Core City-Less than High School","Core City-Some College","Developed Community-Associates Degree","Developed Community-Bachelors Degree","Developed Community-Some High School","Developed Community-Graduate/Professional Degree","Developed Community-Graduated High School","Developed Community-Less than High School","Developed Community-Some College","Growing Suburb-Associates Degree","Growing Suburb-Bachelors Degree","Growing Suburb-Some High School","Growing Suburb-Graduate/Professional Degree","Growing Suburb-Graduated High School","Growing Suburb-Less than High School","Growing Suburb-Some College","Rural Area-Associates Degree","Rural Area-Bachelors Degree","Rural Area-Some High School","Rural Area-Graduate/Professional Degree","Rural Area-Graduated High School","Rural Area-Less than High School","Rural Area-Some College","Bucks-Associates Degree","Bucks-Bachelors Degree","Bucks-Some High School","Bucks-Graduate/Professional Degree","Bucks-Graduated High School","Bucks-Less than High School","Bucks-Some College","Burlington-Associates Degree","Burlington-Bachelors Degree","Burlington-Some High School","Burlington-Graduate/Professional Degree","Burlington-Graduated High School","Burlington-Less than High School","Burlington-Some College","Camden-Associates Degree","Camden-Bachelors Degree","Camden-Some High School","Camden-Graduate/Professional Degree","Camden-Graduated High School","Camden-Less than High School","Camden-Some College","Chester-Associates Degree","Chester-Bachelors Degree","Chester-Some High School","Chester-Graduate/Professional Degree","Chester-Graduated High School","Chester-Less than High School","Chester-Some College","Delaware-Associates Degree","Delaware-Bachelors Degree","Delaware-Some High School","Delaware-Graduate/Professional Degree","Delaware-Graduated High School","Delaware-Less than High School","Delaware-Some College","Gloucester-Associates Degree","Gloucester-Bachelors Degree","Gloucester-Some High School","Gloucester-Graduate/Professional Degree","Gloucester-Graduated High School","Gloucester-Less than High School","Gloucester-Some College","Mercer-Associates Degree","Mercer-Bachelors Degree","Mercer-Some High School","Mercer-Graduate/Professional Degree","Mercer-Graduated High School","Mercer-Less than High School","Mercer-Some College","Montgomery-Associates Degree","Montgomery-Bachelors Degree","Montgomery-Some High School","Montgomery-Graduate/Professional Degree","Montgomery-Graduated High School","Montgomery-Less than High School","Montgomery-Some College","Philadelphia-Associates Degree","Philadelphia-Bachelors Degree","Philadelphia-Some High School","Philadelphia-Graduate/Professional Degree","Philadelphia-Graduated High School","Philadelphia-Less than High School","Philadelphia-Some College"
2014,257.4,822.684,260.491,576.842,1154.673,154.199,653.993,80.905,237.335,64.677,147.277,324.632,47.183,202.839,119.047,428.007,77.487,317.374,470.677,44.807,281.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.88,100.079,19.158,66.703,136.437,7.897,78.127,27.429,77.449,15.141,37.978,88.286,6.869,58.986,22.989,70.271,23.039,38.102,110.413,17.627,64.317,18.819,100.481,13.847,70.139,79.701,12.975,50.446,24.258,78.512,22.052,59.006,118.739,10.086,65.98,17.169,39.742,10.169,19.257,68.525,4.796,37.708,13.318,49.873,16.328,51.94,57.408,17.891,41.828,42.09,148.935,22.43,121.526,135.8,13.849,86.941,57.448,157.342,118.327,112.191,359.364,62.209,169.66
2015,274.695,855.244,260.289,574.099,1146.214,141.323,657.291,83.523,234.831,65.035,144.084,329.679,41.064,212.21,130.872,447.307,79.348,315.224,469.746,38.105,267.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.101,103.707,22.317,68.751,128.41,7.367,75.364,26.862,75.762,12.496,37.829,90.565,7.435,62.923,24.377,70.556,22.948,40.922,104.204,16.183,69.63,23.635,107.748,13.531,70.248,73.575,11.554,48.863,29.79,80.14,19.282,58.939,122.529,8.314,61.284,19.02,39.301,12.049,19.757,69.023,4.829,35.096,13.264,49.212,17.542,45.576,65.887,12.617,44.561,39.346,155.712,24.218,117.286,145.232,10.87,81.869,60.3,173.106,115.906,114.791,346.789,62.154,177.701
2016,267.373,878.699,252.074,600.312,1133.498,138.482,655.065,82.252,241.322,61.925,154.424,331.912,39.567,203.643,127.222,458.518,74.318,322.069,465.422,37.56,267.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.289,106.851,19.56,71.909,131.824,8.981,70.997,26.501,74.421,13.659,42.786,93.685,6.31,58.027,23.568,70.321,25.365,39.326,106.532,13.543,70.59,23.797,109.12,14.195,69.456,76.114,9.239,47.498,28.452,84.121,18.346,62.106,118.131,8.562,61.272,18.594,41.256,9.926,20.976,68.48,5.33,36.071,13.589,55.324,12.975,51.336,63.215,14.384,38.955,39.684,158.426,22.217,118.598,139.353,10.778,87.777,57.899,178.859,115.831,123.819,336.164,61.355,183.878
2017,271.306,892.146,229.609,641.908,1153.213,133.4,641.188,87.109,247.925,61.193,164.63,315.332,38.692,205.107,122.678,467.489,67.136,349.161,453.811,37.783,268.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.612,108.643,18.287,77.022,124.785,8.552,77.873,29.684,74.803,13.228,43.337,89.418,7.898,57.989,25.461,70.019,24.926,44.584,102.817,14.087,68.819,21.625,109.477,14.108,75.552,78.569,9.543,45.025,27.675,86.594,15.139,68.063,114.718,9.007,62.604,18.348,44.594,8.013,24.632,62.84,3.655,38.927,13.616,58.509,15.026,52.077,60.257,13.052,39.372,39.766,162.775,19.602,128.524,135.739,10.681,83.369,61.519,176.732,101.28,128.117,384.07,56.925,167.21
2018,267.971,905.065,233.899,646.998,1126.864,133.644,660.827,76.34,243.003,69.38,160.766,312.731,39.655,214.372,129.811,470.384,67.055,343.394,455.852,38.428,270.826,65.752,185.589,128.295,130.868,395.336,75.886,199.742,129.297,404.182,80.611,294.086,486.379,44.063,295.758,56.433,230.82,26.632,156.306,175.945,15.184,118.041,18.224,52.483,10.809,33.224,70.067,5.452,39.133,36.15,111.114,16.568,77.011,129.006,7.965,71.841,22.544,76.507,13.998,44.182,84.903,6.521,66.411,24.95,67.763,25.754,43.294,100.165,16.444,72.304,21.104,113.385,11.47,79.275,72.201,9.028,50.266,29.529,85.305,18.795,63.479,114.816,7.977,65.477,16.386,43.899,8.235,22.937,64.375,5.526,40.113,12.46,54.834,21.393,50.353,63.288,11.164,35.544,43.028,160.58,20.222,123.629,139.829,13.458,83.242,61.82,191.678,97.464,142.838,358.281,55.561,175.629
2019,286.721,937.594,225.895,661.368,1111.07,130.218,639.855,88.342,255.692,58.682,166.754,314.474,38.398,196.146,133.771,486.13,68.81,352.711,442.888,36.896,264.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.293,112.76,18.07,78.532,123.559,9.143,73.095,26.645,78.94,13.117,46.074,86.33,5.589,59.596,27.043,74.645,20.276,43.563,105.369,16.012,64.518,22.837,114.996,11.692,81.532,72.86,9.944,45.316,26.866,91.18,19.728,66.035,112.895,7.316,62.356,17.856,45.026,9.122,23.789,64.869,5.077,36.817,16.798,57.081,16.167,53.328,57.906,11.72,35.215,45.775,167.194,19.32,126.612,133.574,10.493,83.819,64.608,195.772,98.403,141.903,353.708,54.924,179.123
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,292.554,1022.511,200.21,734.284,1074.237,131.411,643.743,92.925,285.848,55.564,185.721,316.534,34.619,196.815,135.657,526.176,60.636,380.054,430.406,37.844,269.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58,126.011,16.651,80.854,125.869,9.307,71.528,26.687,93.115,11.997,49.921,83.225,6.503,59.817,31.356,79.199,20.524,51.762,105.272,14.686,60.277,22.131,124.42,9.778,84.273,71.82,8.943,49.418,32.831,95.309,14.548,73.347,102.93,8.502,66.086,20.074,49.541,9.59,28.159,64.949,3.797,36.25,14.808,63.993,13.453,55.879,63.088,9.633,40.471,44.115,180.436,19.659,141.58,129.787,11.092,82.599,63.972,210.487,84.01,168.509,327.297,58.948,177.297
2022,282.851,1010.655,191.728,759.89,1073.801,132.864,642.998,83.631,282.849,53.496,188.985,323.56,39.874,197.238,134.419,515.735,53.781,392.802,445.787,40.64,265.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.675,117.06,13.308,87.476,131.037,8.218,70.344,27.265,86.255,11.873,53.394,87.662,6.627,60.458,24.252,78.892,21.111,53.992,106.578,16.564,62.32,22.503,127.352,9.438,86.648,73.165,10.45,48.223,31.653,92.185,13.452,71.352,105.345,11.273,66.414,18.458,50.778,8.585,27.557,64.997,3.74,37.303,13.656,66.924,11.927,54.042,64.323,12.943,37.157,40.588,179.138,17.583,147.326,136.24,10.699,80.819,64.801,212.071,84.451,178.103,304.454,52.35,179.96
2023,310.568,1021.501,186.263,749.838,1083.878,134.116,623.544,93.711,281.926,51.083,186.145,315.024,43.429,205.832,138.573,523.13,56.625,396.99,443.49,40.883,260.657,77.578,222.06,99.886,171.876,372.475,67.524,200.696,141.03,461.781,68.437,337.008,475.799,43.739,287.285,60.939,259.377,22.082,179.799,171.992,13.542,118.532,19.712,60.544,9.039,39.924,66.487,6.056,36.253,39.744,123.486,13.029,83.813,132.365,7.252,69.378,27.943,88.455,11.415,54.895,87.282,5.866,62.26,27.502,82.512,20.062,48.785,104.989,18.198,63.835,22.267,126.133,9.272,94.188,71.933,11.181,45.796,29.827,92.73,14.663,76.075,107.371,11.491,61.77,22.096,49.439,5.962,26.254,65.735,4.554,38.877,16.17,61.52,13.644,56.211,57.018,14.811,40.86,46.735,180.781,19.661,142.914,131.821,10.959,83.713,78.284,216.445,78.555,166.703,325.364,49.804,157.055
