"year","bus","commuter_rail","light_rail","nonscheduled_services","subway","trolleybus","all","busper_capita","commuter_railper_capita","light_railper_capita","nonscheduled_servicesper_capita","subwayper_capita","trolleybusper_capita","allper_capita","busper_vrh","commuter_railper_vrh","light_railper_vrh","nonscheduled_servicesper_vrh","subwayper_vrh","trolleybusper_vrh","allper_vrh","busper_vrm","commuter_railper_vrm","light_railper_vrm","nonscheduled_servicesper_vrm","subwayper_vrm","trolleybusper_vrm","allper_vrm"
2011,207687.9,41448.2,31056.4,2405.2,111538.7,6584.4,400720.8,36.73,7.33,5.49,0.43,19.73,1.16,70.87,43.96,55.70,75.48,2.03,108.42,60.62,48.86,4.01,2.01,7.12,0.18,5.20,7.08,3.56
2012,214775.3,40604.8,28645.3,2144.5,113409.1,6951.6,406530.6,37.86,7.16,5.05,0.38,19.99,1.23,71.66,44.63,53.14,71.78,1.83,111.99,65.23,49.19,4.09,1.92,6.64,0.16,5.31,7.61,3.58
2013,213804.3,41057.3,30289.7,2063.8,111578.2,6228.4,405021.7,37.61,7.22,5.33,0.36,19.63,1.10,71.25,43.88,52.54,69.89,1.73,110.53,60.53,48.27,3.99,1.90,6.57,0.14,5.25,7.04,3.48
2014,206051.6,41818.4,27328.1,2262.7,109296.1,6562.6,393319.5,36.16,7.34,4.80,0.40,19.18,1.15,69.03,41.50,43.54,60.38,1.81,108.54,59.14,44.95,3.80,1.89,5.79,0.15,5.18,6.96,3.32
2015,199861.8,41836.0,28902.7,2351.8,110917.2,6696.0,390565.5,35.03,7.33,5.07,0.41,19.44,1.17,68.46,40.66,43.65,64.08,1.80,108.76,61.05,44.57,3.73,1.88,6.11,0.15,5.17,7.18,3.29
2016,210281.4,40404.2,28513.4,2311.5,112537.2,6500.3,400548.0,36.80,7.07,4.99,0.40,19.70,1.14,70.10,42.66,40.31,64.85,1.72,104.65,63.03,45.04,3.93,1.82,6.19,0.15,5.18,7.42,3.37
2017,190019.6,37257.0,29262.4,2236.6,104718.9,6171.0,369665.6,33.19,6.51,5.11,0.39,18.29,1.08,64.57,38.54,37.13,69.33,1.69,100.01,63.91,41.89,3.58,1.67,6.55,0.14,4.94,7.62,3.14
2018,187405.0,36278.3,27700.3,2098.8,104794.5,5085.0,363361.8,32.67,6.32,4.83,0.37,18.27,0.89,63.34,37.46,32.51,68.85,1.63,97.51,57.58,40.52,3.48,1.57,6.36,0.14,4.86,6.85,3.06
2019,178612.7,39230.2,25561.8,2042.4,101861.7,4495.9,351804.6,31.09,6.83,4.45,0.36,17.73,0.78,61.23,35.35,36.27,61.10,1.56,93.24,64.29,38.98,3.29,1.69,5.77,0.14,4.63,6.99,2.94
2020,137833.4,28615.2,22886.2,1604.7,75014.2,4647.1,270600.7,23.41,4.86,3.89,0.27,12.74,0.79,45.95,29.57,30.74,59.85,1.52,69.13,63.86,33.04,2.75,1.47,5.56,0.13,3.65,7.60,2.53
2021,72712.4,7893.3,8928.9,863.9,32325.9,2026.4,124750.8,12.34,1.34,1.52,0.15,5.48,0.34,21.17,15.32,11.37,27.22,1.33,29.34,20.74,16.38,1.41,0.53,2.44,0.11,1.57,2.47,1.26
2022,108067.7,19855.3,12182.1,1168.8,57369.6,3011.4,201655.0,18.39,3.38,2.07,0.20,9.76,0.51,34.32,23.07,21.94,43.02,1.49,48.32,35.72,25.43,2.05,1.00,3.83,0.12,2.79,4.29,1.89
